rank,company,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
217,Western Digital,"72,878",194,"$12,994.00 ",-10.80%,$242.00 ,-83.50%,"$32,862.00 ","$23,775.00 "
218,Guardian Life Ins. Co. of America,"8,876",226,"$12,919.00 ",2.30%,$263.90 ,-35.70%,"$70,339.00 ",-
219,Ross Stores,"78,600",237,"$12,867.00 ",7.80%,"$1,117.70 ",9.50%,"$5,309.00 ","$25,814.00 "
220,L Brands,"59,100",234,"$12,574.00 ",3.50%,"$1,158.10 ",-7.60%,"$8,170.00 ","$13,426.00 "
221,J.C. Penney,"106,000",228,"$12,547.00 ",-0.60%,$1.00 ,-,"$9,314.00 ","$1,901.00 "
222,Farmers Insurance Exchange,"13,309",227,"$12,513.00 ",-0.90%,($147.90),-,"$16,057.00 ",-
223,Reynolds American,"5,525",266,"$12,503.00 ",17.10%,"$6,073.00 ",86.70%,"$51,095.00 ","$89,862.00 "
224,Viacom,"9,650",213,"$12,488.00 ",-5.90%,"$1,438.00 ",-25.20%,"$22,508.00 ","$18,503.00 "
225,Becton Dickinson,"50,928",278,"$12,483.00 ",21.40%,$976.00 ,40.40%,"$25,586.00 ","$39,041.00 "
226,Micron Technology,"31,400",173,"$12,399.00 ",-23.40%,($276.00),-109.50%,"$27,540.00 ","$31,972.00 "
227,Principal Financial,"14,854",236,"$12,394.00 ",3.60%,"$1,316.50 ",6.70%,"$228,014.00 ","$18,143.00 "
228,Arconic,"41,500",126,"$12,394.00 ",-45.00%,($941.00),-,"$20,038.00 ","$11,604.00 "
229,NRG Energy,"8,763",193,"$12,351.00 ",-15.80%,($774.00),-,"$30,355.00 ","$5,911.00 "
230,VF,"69,000",231,"$12,207.00 ",-1.40%,"$1,074.10 ",-12.80%,"$9,739.00 ","$22,786.00 "
231,Devon Energy,"3,545",216,"$12,197.00 ",-7.20%,"($3,302.00)",-,"$25,913.00 ","$21,886.00 "
232,D.R. Horton,"6,976",260,"$12,157.00 ",12.30%,$886.30 ,18.10%,"$11,559.00 ","$12,438.00 "
233,Bed Bath & Beyond,"62,000",238,"$12,104.00 ",1.90%,$841.50 ,-12.10%,"$6,499.00 ","$5,931.00 "
234,Consolidated Edison,"14,960",229,"$12,075.00 ",-3.80%,"$1,245.00 ",4.40%,"$48,255.00 ","$23,708.00 "
235,Edison International,"12,390",246,"$11,869.00 ",3.00%,"$1,311.00 ",28.50%,"$51,319.00 ","$25,938.00 "
236,Sherwin-Williams,"42,550",253,"$11,856.00 ",4.60%,"$1,132.70 ",7.50%,"$6,753.00 ","$28,891.00 "
237,NGL Energy Partners,"3,200",167,"$11,742.00 ",-30.10%,($198.90),-633.20%,"$5,560.00 ","$2,686.00 "
238,Dominion Resources,"16,200",243,"$11,737.00 ",0.50%,"$2,123.00 ",11.80%,"$71,610.00 ","$48,732.00 "
239,Ameriprise Financial,"13,195",232,"$11,735.00 ",-3.80%,"$1,314.00 ",-15.90%,"$139,821.00 ","$19,953.00 "
240,ADP,"57,000",248,"$11,668.00 ",1.70%,"$1,492.50 ",2.80%,"$43,670.00 ","$45,963.00 "
241,Hilton Worldwide Holdings,"169,000",254,"$11,663.00 ",3.50%,$348.00 ,-75.20%,"$26,211.00 ","$19,276.00 "
242,First Data,"24,000",249,"$11,584.00 ",1.20%,$420.00 ,-,"$40,292.00 ","$14,224.00 "
243,Henry Schein,"21,000",268,"$11,572.00 ",8.90%,$506.80 ,5.80%,"$6,730.00 ","$13,461.00 "
244,Toys ,"64,000",240,"$11,540.00 ",-2.20%,($36.00),-,"$6,908.00 ",-
245,BB&T Corp.,"37,500",273,"$11,538.00 ",11.50%,"$2,426.00 ",16.40%,"$219,276.00 ","$36,141.00 "
246,Reinsurance Group of America,"2,371",271,"$11,522.00 ",10.60%,$701.40 ,39.70%,"$53,098.00 ","$8,169.00 "
247,Core-Mark Holding,"7,688",317,"$11,507.00 ",29.90%,$54.20 ,5.20%,"$1,497.00 ","$1,445.00 "
248,Biogen,"7,400",263,"$11,449.00 ",6.40%,"$3,702.80 ",4.40%,"$22,877.00 ","$59,046.00 "
249,Las Vegas Sands,"49,000",241,"$11,410.00 ",-2.40%,"$1,670.00 ",-15.10%,"$20,469.00 ","$45,313.00 "
250,Stanley Black & Decker,"54,023",256,"$11,407.00 ",1.70%,$965.30 ,9.20%,"$15,635.00 ","$20,280.00 "
251,Parker-Hannifin,"48,950",224,"$11,361.00 ",-10.60%,$806.80 ,-20.30%,"$12,057.00 ","$21,370.00 "
252,Stryker,"33,000",287,"$11,325.00 ",13.90%,"$1,647.00 ",14.50%,"$20,435.00 ","$49,115.00 "
253,Estee Lauder,"46,000",261,"$11,262.00 ",4.50%,"$1,114.60 ",2.40%,"$9,223.00 ","$31,068.00 "
254,Celgene,"7,132",305,"$11,229.00 ",21.30%,"$1,999.20 ",24.80%,"$28,086.00 ","$96,802.00 "
255,BlackRock,"13,000",250,"$11,155.00 ",-2.20%,"$3,172.00 ",-5.20%,"$220,177.00 ","$62,225.00 "
256,Xcel Energy,"11,476",257,"$11,107.00 ",0.70%,"$1,123.40 ",14.10%,"$41,155.00 ","$22,546.00 "
257,CSX,"26,628",239,"$11,069.00 ",-6.30%,"$1,714.00 ",-12.90%,"$35,414.00 ","$43,126.00 "
258,Unum Group,"9,400",265,"$11,047.00 ",2.90%,$931.40 ,7.40%,"$61,942.00 ","$10,749.00 "
259,Jacobs Engineering Group,"49,350",235,"$10,964.00 ",-9.50%,$210.50 ,-30.50%,"$7,360.00 ","$6,693.00 "
260,Lennar,"8,335",301,"$10,950.00 ",15.60%,$911.80 ,13.60%,"$15,362.00 ","$12,002.00 "
261,Group 1 Automotive,"13,500",267,"$10,888.00 ",2.40%,$147.10 ,56.50%,"$4,462.00 ","$1,584.00 "
262,Leucadia National,"13,000",242,"$10,875.00 ",-6.90%,$130.00 ,-54.20%,"$45,071.00 ","$9,355.00 "
263,Entergy,"13,513",247,"$10,846.00 ",-5.80%,($583.60),-,"$45,904.00 ","$13,685.00 "
264,PayPal Holdings,"18,100",307,"$10,842.00 ",17.20%,"$1,401.00 ",14.10%,"$33,103.00 ","$51,650.00 "
265,Applied Materials,"16,150",295,"$10,825.00 ",12.10%,"$1,721.00 ",25.00%,"$14,588.00 ","$42,005.00 "
266,Voya Financial,"6,700",252,"$10,782.00 ",-4.90%,($428.00),-204.80%,"$214,235.00 ","$7,191.00 "
267,MasterCard,"11,900",294,"$10,776.00 ",11.50%,"$4,059.00 ",6.60%,"$18,675.00 ","$121,234.00 "
268,Priceline Group,"18,500",308,"$10,743.00 ",16.50%,"$2,135.00 ",-16.30%,"$19,839.00 ","$87,522.00 "
269,Liberty Interactive,"21,080",284,"$10,647.00 ",6.60%,"$1,235.00 ",42.10%,"$20,355.00 ","$9,101.00 "
270,AutoZone,"66,780",280,"$10,636.00 ",4.40%,"$1,241.00 ",7.00%,"$8,600.00 ","$20,540.00 "
271,State Street Corp.,"33,783",264,"$10,635.00 ",-1.20%,"$2,143.00 ",8.20%,"$242,698.00 ","$30,406.00 "
272,DTE Energy,"10,000",274,"$10,630.00 ",2.80%,$868.00 ,19.40%,"$32,041.00 ","$18,317.00 "
273,L-3 Communications,"38,000",245,"$10,597.00 ",-8.30%,$710.00 ,-,"$11,865.00 ","$12,859.00 "
274,HollyFrontier,"2,676",214,"$10,536.00 ",-20.40%,($260.50),-135.20%,"$9,436.00 ","$5,048.00 "
275,Praxair,"26,498",262,"$10,534.00 ",-2.20%,"$1,500.00 ",-3.00%,"$19,332.00 ","$33,834.00 "
276,Universal Health Services,"70,863",290,"$10,508.00 ",7.40%,$702.40 ,3.20%,"$10,318.00 ","$12,022.00 "
277,Discover Financial Services,"15,549",283,"$10,497.00 ",4.90%,"$2,393.00 ",4.20%,"$92,308.00 ","$26,255.00 "
278,Occidental Petroleum,"11,000",225,"$10,398.00 ",-18.10%,($574.00),-,"$43,109.00 ","$48,444.00 "
279,United States Steel,"29,800",244,"$10,261.00 ",-11.30%,($440.00),-,"$9,160.00 ","$5,893.00 "
280,Sempra Energy,"16,575",279,"$10,183.00 ",-0.50%,"$1,370.00 ",1.60%,"$47,786.00 ","$27,692.00 "
281,Baxter International,"48,000",286,"$10,163.00 ",2.00%,"$4,965.00 ",412.90%,"$15,546.00 ","$28,106.00 "
282,W.W. Grainger,"25,000",285,"$10,137.00 ",1.60%,$605.90 ,-21.20%,"$5,694.00 ","$13,668.00 "
283,Autoliv,"65,900",310,"$10,074.00 ",9.90%,$567.10 ,24.10%,"$8,234.00 ","$9,032.00 "
284,Norfolk Southern,"27,856",270,"$9,888.00 ",-5.90%,"$1,668.00 ",7.20%,"$34,892.00 ","$32,515.00 "
285,Baker Hughes,"33,000",178,"$9,841.00 ",-37.50%,"($2,738.00)",-,"$19,034.00 ","$25,444.00 "
286,Ally Financial,"7,600",298,"$9,835.00 ",3.10%,"$1,067.00 ",-17.20%,"$163,728.00 ","$9,437.00 "
287,Sonic Automotive,"9,800",297,"$9,732.00 ",1.10%,$93.20 ,8.00%,"$3,639.00 ",$900.00 
288,Owens & Minor,"7,900",291,"$9,723.00 ",-0.50%,$108.80 ,5.20%,"$2,718.00 ","$2,114.00 "
289,Huntsman,"15,000",277,"$9,657.00 ",-6.20%,$326.00 ,250.50%,"$9,189.00 ","$5,880.00 "
290,Laboratory Corp. of America,"52,000",325,"$9,642.00 ",11.10%,$732.10 ,67.60%,"$14,247.00 ","$14,696.00 "
291,Murphy USA,"6,600",258,"$9,633.00 ",-11.50%,$221.50 ,25.60%,"$2,089.00 ","$2,706.00 "
292,Advance Auto Parts,"57,500",293,"$9,568.00 ",-1.70%,$459.60 ,-2.90%,"$8,315.00 ","$10,944.00 "
293,Fidelity National Financial,"55,219",311,"$9,554.00 ",4.60%,$650.00 ,23.30%,"$14,463.00 ","$10,600.00 "
294,Air Products & Chemicals,"18,450",288,"$9,524.00 ",-3.70%,$631.10 ,-50.60%,"$18,055.00 ","$29,438.00 "
295,Hormel Foods,"21,100",304,"$9,523.00 ",2.80%,$890.10 ,29.70%,"$6,370.00 ","$18,316.00 "
296,Hertz Global Holdings,"36,000",269,"$9,480.00 ",-10.00%,($491.00),-279.90%,"$19,155.00 ","$1,456.00 "
297,MGM Resorts International,"66,500",309,"$9,455.00 ",2.90%,"$1,101.40 ",-,"$28,173.00 ","$15,733.00 "
298,Corning,"40,700",313,"$9,390.00 ",3.10%,"$3,695.00 ",176.00%,"$27,899.00 ","$25,030.00 "
299,Republic Services,"33,000",312,"$9,388.00 ",3.00%,$612.60 ,-18.30%,"$20,630.00 ","$21,312.00 "
300,Alcoa,"14,000",,"$9,318.00 ",-,($400.00),-,"$16,741.00 ","$6,337.00 "
301,Fidelity National Information Services,"55,000",392,"$9,241.00 ",40.10%,$568.00 ,-10.10%,"$26,031.00 ","$26,178.00 "
302,Pacific Life,"3,628",326,"$9,169.00 ",6.10%,$824.00 ,24.70%,"$143,298.00 ",-
303,SunTrust Banks,"24,375",329,"$9,161.00 ",7.40%,"$1,878.00 ",-2.80%,"$204,875.00 ","$27,175.00 "
304,LKQ,"42,500",369,"$9,082.00 ",26.30%,$464.00 ,9.60%,"$8,303.00 ","$9,021.00 "
305,BorgWarner,"27,000",339,"$9,071.00 ",13.10%,$118.50 ,-80.60%,"$8,835.00 ","$8,895.00 "
306,Ball,"18,450",341,"$9,061.00 ",13.30%,$263.00 ,-6.40%,"$16,173.00 ","$13,000.00 "
307,CST Brands,"12,380",299,"$9,061.00 ",-4.60%,$324.00 ,117.40%,"$4,360.00 ","$3,645.00 "
308,Public Service Enterprise Group,"13,065",272,"$9,061.00 ",-13.00%,$887.00 ,-47.20%,"$40,070.00 ","$22,451.00 "
309,Eastman Chemical,"14,000",296,"$9,008.00 ",-6.60%,$854.00 ,0.70%,"$15,457.00 ","$11,783.00 "
310,eBay,"12,600",300,"$8,979.00 ",-5.40%,"$7,266.00 ",321.20%,"$23,847.00 ","$36,232.00 "
311,Mohawk Industries,"37,800",338,"$8,959.00 ",11.00%,$930.40 ,51.20%,"$10,231.00 ","$17,025.00 "
312,Oneok,"2,384",348,"$8,921.00 ",14.90%,$352.00 ,43.70%,"$16,139.00 ","$11,684.00 "
313,Frontier Communications,"28,332",461,"$8,896.00 ",59.50%,($373.00),-,"$29,013.00 ","$2,521.00 "
314,Netflix,"3,850",379,"$8,831.00 ",30.30%,$186.70 ,52.20%,"$13,587.00 ","$63,619.00 "
315,American Family Insurance Group,"10,471",332,"$8,829.00 ",6.60%,$325.60 ,-53.10%,"$22,662.00 ",-
316,Thrivent Financial for Lutherans,"3,282",318,"$8,777.00 ",-0.10%,$587.80 ,-23.60%,"$88,561.00 ",-
317,Expedia,"20,075",385,"$8,774.00 ",31.50%,$281.80 ,-63.10%,"$15,778.00 ","$18,901.00 "
318,Lithia Motors,"11,170",346,"$8,678.00 ",10.30%,$197.10 ,7.70%,"$3,844.00 ","$2,156.00 "
319,Avis Budget Group,"25,600",330,"$8,659.00 ",1.80%,$163.00 ,-47.90%,"$17,643.00 ","$2,528.00 "
320,Reliance Steel & Aluminum,"14,500",303,"$8,613.00 ",-7.90%,$304.30 ,-2.30%,"$7,411.00 ","$5,830.00 "
321,GameStop,"41,750",302,"$8,608.00 ",-8.10%,$353.20 ,-12.30%,"$4,976.00 ","$2,282.00 "
322,Tenneco,"31,000",334,"$8,599.00 ",4.80%,$363.00 ,47.00%,"$4,342.00 ","$3,390.00 "
323,O,"58,397",342,"$8,593.00 ",7.90%,"$1,037.70 ",11.40%,"$7,204.00 ","$24,730.00 "
324,Peter Kiewit Sons,"20,000",314,"$8,573.00 ",-4.70%,$396.00 ,57.80%,"$6,179.00 ",-
325,United Natural Foods,"9,554",335,"$8,470.00 ",3.50%,$125.80 ,-9.30%,"$2,852.00 ","$2,187.00 "
326,salesforce.com,"25,000",386,"$8,392.00 ",25.90%,$179.60 ,-,"$17,585.00 ","$58,362.00 "
327,Boston Scientific,"27,000",359,"$8,386.00 ",12.20%,$347.00 ,-,"$18,096.00 ","$34,046.00 "
328,Newmont Mining,"12,438",349,"$8,379.00 ",8.40%,($627.00),-385.00%,"$21,031.00 ","$17,518.00 "
329,Genworth Financial,"3,400",306,"$8,369.00 ",-9.50%,($277.00),-,"$104,658.00 ","$2,056.00 "
330,Live Nation Entertainment,"11,500",366,"$8,355.00 ",15.30%,$2.90 ,-,"$6,764.00 ","$6,219.00 "
331,Veritiv,"8,700",323,"$8,327.00 ",-4.50%,$21.00 ,-21.30%,"$2,484.00 ",$813.00 
332,News Corp.,"24,000",327,"$8,319.00 ",-3.60%,$179.00 ,-,"$15,483.00 ","$7,559.00 "
333,Crown Holdings,"23,992",321,"$8,284.00 ",-5.50%,$496.00 ,26.20%,"$9,599.00 ","$7,367.00 "
334,Global Partners,"1,770",276,"$8,240.00 ",-20.10%,($199.40),-557.80%,"$2,564.00 ",$663.00 
335,PVH,"26,650",340,"$8,203.00 ",2.30%,$549.00 ,-4.10%,"$11,068.00 ","$8,092.00 "
336,Level 3 Communications,"12,600",333,"$8,172.00 ",-0.70%,$677.00 ,-80.30%,"$24,888.00 ","$20,638.00 "
337,Navistar International,"11,300",281,"$8,111.00 ",-20.00%,($97.00),-,"$5,653.00 ","$2,416.00 "
338,Univar,"8,700",315,"$8,074.00 ",-10.10%,($68.40),-514.50%,"$5,390.00 ","$4,293.00 "
339,Campbell Soup,"16,500",337,"$7,961.00 ",-1.50%,$563.00 ,-18.50%,"$7,837.00 ","$17,423.00 "
340,Dick,"27,550",365,"$7,922.00 ",9.00%,$287.40 ,-13.00%,"$4,058.00 ","$5,489.00 "
341,Weyerhaeuser,"10,400",373,"$7,902.00 ",11.60%,"$1,027.00 ",103.00%,"$19,243.00 ","$25,451.00 "
342,Mutual of Omaha Insurance,"5,732",367,"$7,899.00 ",9.20%,$356.60 ,7.10%,"$38,465.00 ",-
343,Chesapeake Energy,"3,300",223,"$7,872.00 ",-38.30%,"($4,401.00)",-,"$13,028.00 ","$5,394.00 "
344,Anadarko Petroleum,"4,500",324,"$7,869.00 ",-9.50%,"($3,071.00)",-,"$45,564.00 ","$34,640.00 "
345,Interpublic Group,"49,800",355,"$7,847.00 ",3.10%,$608.50 ,33.90%,"$12,485.00 ","$9,648.00 "
346,J.M. Smucker,"6,910",452,"$7,811.00 ",37.20%,$688.70 ,99.70%,"$15,984.00 ","$15,263.00 "
347,Steel Dynamics,"7,695",356,"$7,777.00 ",2.40%,$382.10 ,-,"$6,424.00 ","$8,425.00 "
348,Foot Locker,"32,965",361,"$7,766.00 ",4.80%,$664.00 ,22.70%,"$3,840.00 ","$9,818.00 "
349,Western Refining,"7,134",289,"$7,743.00 ",-20.90%,$124.90 ,-69.30%,"$5,560.00 ","$3,812.00 "
350,SpartanNash,"11,500",351,"$7,735.00 ",1.10%,$56.80 ,-9.40%,"$1,930.00 ","$1,313.00 "
351,Dean Foods,"17,000",336,"$7,710.00 ",-5.10%,$119.90 ,-,"$2,606.00 ","$1,786.00 "
352,Zimmer Biomet Holdings,"18,500",431,"$7,684.00 ",28.10%,$305.90 ,108.10%,"$26,684.00 ","$24,571.00 "
353,PulteGroup,"4,623",433,"$7,669.00 ",28.20%,$602.70 ,22.00%,"$10,178.00 ","$7,466.00 "
354,W.R. Berkley,"7,608",368,"$7,654.00 ",6.20%,$601.90 ,19.50%,"$23,365.00 ","$8,561.00 "
355,Quanta Services,"28,100",352,"$7,651.00 ",0.20%,$198.40 ,-36.20%,"$5,354.00 ","$5,386.00 "
356,EOG Resources,"2,650",322,"$7,651.00 ",-12.60%,"($1,096.70)",-,"$29,459.00 ","$56,302.00 "
357,Charles Schwab,"16,200",401,"$7,644.00 ",17.60%,"$1,889.00 ",30.50%,"$223,383.00 ","$54,555.00 "
358,Eversource Energy,"7,762",343,"$7,639.00 ",-4.00%,$942.30 ,7.30%,"$32,053.00 ","$18,627.00 "
359,Anixter International,"8,900",391,"$7,625.00 ",15.60%,$120.50 ,-5.60%,"$4,094.00 ","$2,626.00 "
360,EMCOR Group,"31,000",381,"$7,552.00 ",12.30%,$181.90 ,5.60%,"$3,894.00 ","$3,756.00 "
361,Assurant,"14,700",275,"$7,532.00 ",-27.10%,$565.40 ,299.40%,"$29,709.00 ","$5,298.00 "
362,CenterPoint Energy,"7,727",363,"$7,528.00 ",1.90%,$432.00 ,-,"$21,829.00 ","$11,882.00 "
363,Harris,"21,000",505,"$7,527.00 ",48.10%,$324.00 ,-3.00%,"$11,996.00 ","$13,849.00 "
364,HD Supply Holdings,"14,000",320,"$7,524.00 ",-14.30%,$196.00 ,-86.70%,"$5,707.00 ","$8,296.00 "
365,PPL,"12,689",350,"$7,517.00 ",-2.00%,"$1,902.00 ",178.90%,"$38,315.00 ","$25,448.00 "
366,Quest Diagnostics,"43,000",358,"$7,515.00 ",0.30%,$645.00 ,-9.00%,"$10,100.00 ","$13,501.00 "
367,Williams,"5,604",364,"$7,499.00 ",1.90%,($424.00),-,"$46,835.00 ","$24,436.00 "
368,WEC Energy Group,"8,074",437,"$7,472.00 ",26.10%,$939.00 ,47.10%,"$30,123.00 ","$19,134.00 "
369,Hershey,"17,140",362,"$7,440.00 ",0.70%,$720.00 ,40.40%,"$5,524.00 ","$23,236.00 "
370,AGCO,"19,795",360,"$7,411.00 ",-0.80%,$160.10 ,-39.90%,"$7,168.00 ","$4,783.00 "
371,Ralph Lauren,"20,500",354,"$7,405.00 ",-2.80%,$396.00 ,-43.60%,"$6,213.00 ","$6,710.00 "
372,Masco,"26,000",345,"$7,357.00 ",-6.90%,$491.00 ,38.30%,"$5,137.00 ","$10,888.00 "
373,WESCO International,"9,000",357,"$7,336.00 ",-2.40%,$101.60 ,-51.80%,"$4,491.00 ","$3,389.00 "
374,LifePoint Health,"47,000",430,"$7,274.00 ",20.90%,$121.90 ,-33.00%,"$6,319.00 ","$2,616.00 "
375,National Oilwell Varco,"36,384",192,"$7,251.00 ",-50.90%,"($2,412.00)",-,"$21,140.00 ","$15,183.00 "
376,Kindred Healthcare,"76,650",372,"$7,227.00 ",1.80%,($664.20),-,"$6,113.00 ",$711.00 
377,Mosaic,"8,700",316,"$7,163.00 ",-19.50%,$297.80 ,-70.20%,"$16,841.00 ","$10,242.00 "
378,Alliance Data Systems,"17,000",404,"$7,138.00 ",10.80%,$515.80 ,-13.50%,"$25,514.00 ","$13,925.00 "
379,Computer Sciences,"59,000",233,"$7,106.00 ",-41.70%,$251.00 ,-,"$7,736.00 ","$9,746.00 "
380,Huntington Ingalls Industries,"37,000",378,"$7,068.00 ",0.70%,$573.00 ,41.80%,"$6,352.00 ","$9,265.00 "
381,Leidos Holdings,"32,000",504,"$7,043.00 ",38.50%,$244.00 ,-3.90%,"$9,132.00 ","$7,696.00 "
382,Erie Insurance Group,"4,988",411,"$7,016.00 ",5.70%,$741.90 ,10.70%,"$18,417.00 ",-
383,Tesla,"30,025",588,"$7,000.00 ",73.00%,($674.90),-,"$22,664.00 ","$45,390.00 "
384,Ascena Retail Group,"41,000",523,"$6,995.00 ",45.60%,($11.90),-,"$5,506.00 ",$830.00 
385,Darden Restaurants,"150,942",371,"$6,934.00 ",-3.20%,$375.00 ,-47.10%,"$4,583.00 ","$10,389.00 "
386,Harman International Industries,"26,000",419,"$6,912.00 ",12.30%,$361.70 ,5.60%,"$6,054.00 ",-
387,Nvidia,"10,299",508,"$6,910.00 ",37.90%,"$1,666.00 ",171.30%,"$9,841.00 ","$64,160.00 "
388,R.R. Donnelley & Sons,"44,360",255,"$6,896.00 ",-38.70%,($495.90),-428.20%,"$4,285.00 ",$846.00 
389,Fifth Third Bancorp,"17,844",376,"$6,889.00 ",-2.00%,"$1,564.00 ",-8.60%,"$142,177.00 ","$19,066.00 "
390,Quintiles Transnational Holdings,"50,000",447,"$6,878.00 ",19.90%,$115.00 ,-70.30%,"$21,208.00 ","$18,999.00 "
391,Jones Lang LaSalle,"77,300",436,"$6,804.00 ",14.00%,$318.20 ,-27.50%,"$7,629.00 ","$5,043.00 "
392,Dover,"29,000",377,"$6,794.00 ",-3.30%,$508.90 ,-41.50%,"$10,116.00 ","$12,502.00 "
393,Spirit AeroSystems Holdings,"14,400",389,"$6,793.00 ",2.20%,$469.70 ,-40.40%,"$5,405.00 ","$6,900.00 "
394,Ryder System,"34,500",395,"$6,787.00 ",3.30%,$262.50 ,-13.90%,"$10,903.00 ","$3,992.00 "
395,A-Mark Precious Metals,"83,000",426,"$6,784.00 ",11.80%,$9.30 ,31.50%,$437.00 ,$120.00 
396,Tractor Supply,"19,500",415,"$6,780.00 ",8.90%,$437.10 ,6.50%,"$2,675.00 ","$8,960.00 "
397,Sealed Air,"23,000",375,"$6,778.00 ",-3.60%,$486.40 ,45.00%,"$7,389.00 ","$8,432.00 "
398,Auto-Owners Insurance,"4,737",398,"$6,775.00 ",4.00%,$706.30 ,-13.40%,"$21,571.00 ",-
399,Yum China Holdings,"420,000",,"$6,752.00 ",-,$502.00 ,-,"$3,727.00 ","$10,453.00 "
400,Calpine,"2,372",402,"$6,716.00 ",3.80%,$92.00 ,-60.90%,"$19,317.00 ","$3,989.00 "
401,Owens-Illinois,"27,000",418,"$6,702.00 ",8.90%,$209.00 ,54.80%,"$9,135.00 ","$3,316.00 "
402,Targa Resources,"1,970",387,"$6,691.00 ",0.50%,($187.30),-421.30%,"$12,871.00 ","$11,743.00 "
403,JetBlue Airways,"15,986",405,"$6,632.00 ",3.40%,$759.00 ,12.10%,"$9,487.00 ","$6,875.00 "
404,Jones Financial,"43,000",382,"$6,632.00 ",-0.90%,$746.00 ,-11.00%,"$19,424.00 ",-
405,Franklin Resources,"9,059",344,"$6,618.00 ",-16.70%,"$1,726.70 ",-15.20%,"$16,099.00 ","$23,823.00 "
406,Activision Blizzard,"9,500",532,"$6,608.00 ",41.70%,$966.00 ,8.30%,"$17,452.00 ","$37,487.00 "
407,J.B. Hunt Transport Services,"22,190",416,"$6,556.00 ",5.90%,$432.10 ,1.10%,"$3,829.00 ","$10,212.00 "
408,Constellation Brands,"9,000",429,"$6,548.00 ",8.60%,"$1,054.90 ",25.70%,"$16,965.00 ","$31,775.00 "
409,NCR,"33,500",409,"$6,543.00 ",2.70%,$270.00 ,-,"$7,673.00 ","$5,620.00 "
410,Asbury Automotive Group,"7,900",393,"$6,528.00 ",-0.90%,$167.20 ,-1.20%,"$2,336.00 ","$1,271.00 "
411,American Financial Group,"7,600",421,"$6,498.00 ",5.70%,$649.00 ,84.40%,"$55,072.00 ","$8,303.00 "
412,Discovery Communications,"7,000",406,"$6,497.00 ",1.60%,"$1,194.00 ",15.50%,"$15,758.00 ","$11,306.00 "
413,Berry Global Group,"21,000",518,"$6,489.00 ",32.90%,$236.00 ,174.40%,"$7,653.00 ","$6,256.00 "
414,Sanmina,"40,178",408,"$6,481.00 ",1.70%,$187.80 ,-50.20%,"$3,625.00 ","$3,016.00 "
415,CalAtlantic Group,"3,055",640,"$6,477.00 ",83.00%,$484.70 ,127.00%,"$8,709.00 ","$4,291.00 "
416,Dr Pepper Snapple Group,"20,000",413,"$6,440.00 ",2.50%,$847.00 ,10.90%,"$9,791.00 ","$17,997.00 "
417,Dillard,"30,800",380,"$6,418.00 ",-5.00%,$169.20 ,-37.20%,"$3,888.00 ","$1,645.00 "
418,HRG Group,"16,021",441,"$6,403.00 ",10.10%,($198.80),-,"$35,793.00 ","$3,869.00 "
419,CMS Energy,"7,750",403,"$6,399.00 ",-0.90%,$551.00 ,5.40%,"$21,622.00 ","$12,528.00 "
420,Graybar Electric,"8,500",423,"$6,385.00 ",4.50%,$93.10 ,2.20%,"$2,099.00 ",-
421,Builders FirstSource,"14,000",637,"$6,367.00 ",78.60%,$144.30 ,-,"$2,910.00 ","$1,669.00 "
422,Yum Brands,"90,000",218,"$6,366.00 ",-51.40%,"$1,619.00 ",25.20%,"$5,478.00 ","$22,611.00 "
423,Casey,"24,724",374,"$6,304.00 ",-10.60%,$226.00 ,25.10%,"$2,726.00 ","$4,400.00 "
424,Amphenol,"62,000",462,"$6,286.00 ",12.90%,$822.90 ,7.80%,"$8,499.00 ","$21,897.00 "
425,Oshkosh,"13,800",424,"$6,279.00 ",3.00%,$216.40 ,-5.70%,"$4,514.00 ","$5,118.00 "
426,iHeartMedia,"18,700",414,"$6,274.00 ",0.50%,($296.30),-,"$12,862.00 ",$330.00 
427,TreeHouse Foods,"16,027",686,"$6,175.00 ",92.60%,($228.60),-298.90%,"$6,546.00 ","$4,813.00 "
428,Alleghany,"3,420",509,"$6,131.00 ",22.60%,$456.90 ,-18.50%,"$23,757.00 ","$9,476.00 "
429,Expeditors International of Washington,"16,000",390,"$6,098.00 ",-7.80%,$430.80 ,-5.80%,"$2,791.00 ","$10,208.00 "
430,Avery Dennison,"25,000",435,"$6,087.00 ",2.00%,$320.70 ,16.90%,"$4,396.00 ","$7,157.00 "
431,Ameren,"8,629",425,"$6,076.00 ",-0.40%,$653.00 ,3.70%,"$24,699.00 ","$13,245.00 "
432,Hanesbrands,"67,800",448,"$6,063.00 ",5.80%,$539.40 ,25.80%,"$6,908.00 ","$7,733.00 "
433,Motorola Solutions,"14,000",451,"$6,038.00 ",6.00%,$560.00 ,-8.20%,"$8,463.00 ","$14,131.00 "
434,St. Jude Medical,"18,000",465,"$6,004.00 ",8.40%,$734.00 ,-16.60%,"$12,578.00 ",-
435,Harley-Davidson,"6,000",432,"$5,997.00 ",-,$692.20 ,-8.00%,"$9,890.00 ","$10,626.00 "
436,Regions Financial,"22,166",453,"$5,967.00 ",5.20%,"$1,163.00 ",9.50%,"$125,968.00 ","$17,512.00 "
437,Intercontinental Exchange,"5,631",529,"$5,958.00 ",27.30%,"$1,422.00 ",11.60%,"$82,003.00 ","$35,530.00 "
