rank,company,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
49,Albertsons Cos.,"274,000",,"$58,734.00 ",115.90%,($502.20),-,"$23,770.00 ",-
50,United Technologies,"201,600",45,"$57,244.00 ",-6.20%,"$5,055.00 ",-33.60%,"$89,706.00 ","$89,957.00 "
51,Marathon Petroleum,"44,460",42,"$55,858.00 ",-13.50%,"$1,174.00 ",-58.80%,"$44,413.00 ","$26,679.00 "
52,Disney,"195,000",53,"$55,632.00 ",6.00%,"$9,391.00 ",12.00%,"$92,033.00 ","$179,298.00 "
53,Humana,"51,600",52,"$54,379.00 ",0.20%,$614.00 ,-51.90%,"$25,396.00 ","$29,743.00 "
54,Pfizer,"96,500",55,"$52,824.00 ",8.10%,"$7,215.00 ",3.70%,"$171,615.00 ","$203,725.00 "
55,AIG,"56,400",49,"$52,367.00 ",-10.20%,($849.00),-138.70%,"$498,264.00 ","$61,154.00 "
56,Lockheed Martin,"97,000",60,"$50,658.00 ",9.80%,"$5,302.00 ",47.10%,"$47,806.00 ","$77,557.00 "
57,Sysco,"51,900",57,"$50,367.00 ",3.50%,$949.60 ,38.30%,"$16,722.00 ","$28,048.00 "
58,FedEx,"335,767",58,"$50,365.00 ",6.10%,"$1,820.00 ",73.30%,"$46,064.00 ","$52,178.00 "
59,Hewlett Packard Enterprise,"195,000",,"$50,123.00 ",-,"$3,161.00 ",-,"$79,679.00 ","$39,288.00 "
60,Cisco Systems,"73,700",54,"$49,247.00 ",0.20%,"$10,739.00 ",19.60%,"$121,652.00 ","$169,266.00 "
61,HP,"49,000",20,"$48,238.00 ",-53.30%,"$2,496.00 ",-45.20%,"$29,010.00 ","$30,231.00 "
62,Dow Chemical,"56,000",56,"$48,158.00 ",-1.30%,"$4,318.00 ",-43.80%,"$79,511.00 ","$77,460.00 "
63,HCA Holdings,"210,500",63,"$44,747.00 ",2.70%,"$2,890.00 ",35.70%,"$33,758.00 ","$32,966.00 "
64,Coca-Cola,"100,300",62,"$41,863.00 ",-5.50%,"$6,527.00 ",-11.20%,"$87,270.00 ","$182,153.00 "
65,New York Life Insurance,"11,320",61,"$40,787.00 ",-11.10%,"$1,088.10 ",324.10%,"$287,196.00 ",-
66,Centene,"30,500",124,"$40,721.00 ",78.60%,$562.00 ,58.30%,"$20,197.00 ","$12,271.00 "
67,American Airlines Group,"122,300",67,"$40,180.00 ",-2.00%,"$2,676.00 ",-64.80%,"$51,274.00 ","$21,326.00 "
68,Nationwide,"34,320",69,"$40,074.00 ",-0.40%,$334.30 ,-42.40%,"$197,790.00 ",-
69,Merck,"68,000",72,"$39,807.00 ",0.80%,"$3,920.00 ",-11.80%,"$95,377.00 ","$174,454.00 "
70,Cigna,"41,000",79,"$39,668.00 ",4.70%,"$1,867.00 ",-10.80%,"$59,360.00 ","$37,604.00 "
71,Delta Air Lines,"83,756",68,"$39,639.00 ",-2.60%,"$4,373.00 ",-3.40%,"$51,261.00 ","$33,586.00 "
72,Best Buy,"125,000",71,"$39,403.00 ",-0.90%,"$1,228.00 ",36.90%,"$13,856.00 ","$15,193.00 "
73,Honeywell International,"131,000",75,"$39,302.00 ",1.90%,"$4,809.00 ",0.90%,"$54,146.00 ","$94,991.00 "
74,Caterpillar,"95,400",59,"$38,537.00 ",-18.00%,($67.00),-103.20%,"$74,704.00 ","$54,402.00 "
75,Liberty Mutual Insurance Group,"50,000",73,"$38,308.00 ",-2.90%,"$1,006.00 ",95.70%,"$125,592.00 ",-
76,Morgan Stanley,"55,311",78,"$37,949.00 ",0.10%,"$5,979.00 ",-2.40%,"$814,949.00 ","$79,947.00 "
77,Massachusetts Mutual Life Insurance,"11,737",76,"$37,788.00 ",-1.20%,"$1,273.50 ",-10.60%,"$271,040.00 ",-
78,Goldman Sachs Group,"34,400",74,"$37,712.00 ",-3.80%,"$7,398.00 ",21.60%,"$860,165.00 ","$91,380.00 "
79,Energy Transfer Equity,"30,992",65,"$37,504.00 ",-11.00%,$995.00 ,-16.30%,"$79,011.00 ","$21,292.00 "
80,TIAA,"12,997",82,"$37,105.00 ",5.50%,"$1,492.30 ",22.90%,"$523,194.00 ",-
81,Oracle,"136,000",77,"$37,047.00 ",-3.10%,"$8,901.00 ",-10.40%,"$112,180.00 ","$183,556.00 "
82,Tyson Foods,"114,000",66,"$36,881.00 ",-10.90%,"$1,768.00 ",44.90%,"$22,373.00 ","$22,028.00 "
83,United Continental Holdings,"88,000",80,"$36,556.00 ",-3.50%,"$2,263.00 ",-69.20%,"$40,140.00 ","$22,225.00 "
84,Allstate,"43,275",81,"$36,534.00 ",2.50%,"$1,877.00 ",-13.50%,"$108,610.00 ","$29,754.00 "
85,Publix Super Markets,"191,000",87,"$34,274.00 ",5.10%,"$2,025.70 ",3.10%,"$17,464.00 ",-
86,American Express,"56,400",85,"$33,823.00 ",-1.80%,"$5,408.00 ",4.70%,"$158,893.00 ","$71,193.00 "
87,TJX,"235,000",89,"$33,184.00 ",7.20%,"$2,298.20 ",0.90%,"$12,884.00 ","$51,053.00 "
88,Nike,"70,700",91,"$32,376.00 ",5.80%,"$3,760.00 ",14.90%,"$21,396.00 ","$92,204.00 "
89,Exelon,"34,396",95,"$31,360.00 ",6.50%,"$1,134.00 ",-50.00%,"$114,904.00 ","$33,309.00 "
90,General Dynamics,"98,800",88,"$31,353.00 ",-0.40%,"$2,955.00 ",-0.30%,"$32,872.00 ","$56,791.00 "
91,Rite Aid,"70,580",107,"$30,737.00 ",15.90%,$165.50 ,-92.20%,"$11,277.00 ","$4,473.00 "
92,Gilead Sciences,"9,000",86,"$30,390.00 ",-6.90%,"$13,501.00 ",-25.40%,"$56,977.00 ","$88,788.00 "
93,CHS,"12,157",84,"$30,347.00 ",-12.20%,$424.20 ,-45.70%,"$17,318.00 ",-
94,3M,"91,584",93,"$30,109.00 ",-0.50%,"$5,050.00 ",4.50%,"$32,906.00 ","$114,338.00 "
95,Time Warner,"25,000",99,"$29,318.00 ",4.30%,"$3,926.00 ",2.40%,"$65,966.00 ","$75,660.00 "
96,Charter Communications,"91,500",292,"$29,003.00 ",197.30%,"$3,522.00 ",-,"$149,067.00 ","$100,595.00 "
97,Northwestern Mutual,"5,646",100,"$28,799.00 ",2.40%,$818.00 ,0.40%,"$250,441.00 ",-
98,Facebook,"17,048",157,"$27,638.00 ",54.20%,"$10,217.00 ",177.00%,"$64,961.00 ","$410,522.00 "
99,Travelers Cos.,"30,900",105,"$27,625.00 ",3.10%,"$3,014.00 ",-12.40%,"$100,245.00 ","$33,689.00 "
100,Capital One Financial,"47,300",112,"$27,519.00 ",9.60%,"$3,751.00 ",-7.40%,"$357,033.00 ","$41,831.00 "
101,Twenty-First Century Fox,"21,500",96,"$27,326.00 ",-5.70%,"$2,755.00 ",-66.80%,"$48,365.00 ","$59,949.00 "
102,USAA,"29,943",114,"$27,131.00 ",11.40%,"$1,779.10 ",-21.70%,"$147,290.00 ",-
103,World Fuel Services,"5,000",92,"$27,016.00 ",-11.10%,$126.50 ,-27.50%,"$5,413.00 ","$2,535.00 "
104,Philip Morris International,"79,500",106,"$26,685.00 ",-0.40%,"$6,967.00 ",1.40%,"$36,851.00 ","$175,349.00 "
105,Deere,"56,767",97,"$26,644.00 ",-7.70%,"$1,523.90 ",-21.40%,"$57,981.00 ","$34,648.00 "
106,Kraft Heinz,"41,000",153,"$26,487.00 ",44.40%,"$3,632.00 ",472.90%,"$120,480.00 ","$110,528.00 "
107,Tech Data,"9,500",108,"$26,235.00 ",-0.50%,$195.10 ,-26.60%,"$7,932.00 ","$3,569.00 "
108,Avnet,"17,700",102,"$26,219.00 ",-6.10%,$506.50 ,-11.40%,"$11,240.00 ","$5,898.00 "
109,Mondelez International,"90,000",102,"$25,923.00 ",-12.50%,"$1,659.00 ",-77.20%,"$61,538.00 ","$65,676.00 "
110,Macy,"148,300",103,"$25,778.00 ",-4.80%,$619.00 ,-42.30%,"$19,851.00 ","$9,046.00 "
111,AbbVie,"30,000",123,"$25,638.00 ",12.20%,"$5,953.00 ",15.70%,"$66,099.00 ","$103,838.00 "
112,McDonald,"375,000",109,"$24,622.00 ",-3.10%,"$4,686.50 ",3.50%,"$31,024.00 ","$106,150.00 "
113,DuPont,"46,000",101,"$24,594.00 ",-12.00%,"$2,513.00 ",28.70%,"$39,964.00 ","$69,451.00 "
114,Northrop Grumman,"67,000",118,"$24,508.00 ",4.20%,"$2,200.00 ",10.60%,"$25,614.00 ","$41,577.00 "
115,ConocoPhillips,"13,300",90,"$24,360.00 ",-21.30%,"($3,615.00)",-,"$89,772.00 ","$61,692.00 "
116,Raytheon,"63,000",120,"$24,069.00 ",3.50%,"$2,211.00 ",6.60%,"$30,052.00 ","$44,664.00 "
117,Tesoro,"6,308",98,"$24,005.00 ",-14.70%,$734.00 ,-52.30%,"$20,398.00 ","$9,515.00 "
118,Arrow Electronics,"18,700",119,"$23,825.00 ",2.30%,$522.80 ,5.00%,"$14,206.00 ","$6,546.00 "
119,Qualcomm,"30,500",110,"$23,554.00 ",-6.80%,"$5,705.00 ",8.20%,"$52,359.00 ","$84,694.00 "
120,Progressive,"31,721",137,"$23,441.00 ",12.40%,"$1,031.00 ",-18.70%,"$33,428.00 ","$22,760.00 "
121,Duke Energy,"28,798",115,"$23,369.00 ",-1.00%,"$2,152.00 ",-23.60%,"$132,761.00 ","$57,397.00 "
122,Enterprise Products Partners,"6,800",104,"$23,022.00 ",-14.80%,"$2,513.10 ",-0.30%,"$52,194.00 ","$58,522.00 "
123,Amgen,"19,200",130,"$22,991.00 ",6.10%,"$7,722.00 ",11.30%,"$77,626.00 ","$120,830.00 "
124,US Foods Holding,"25,000",122,"$22,919.00 ",-0.90%,$209.80 ,25.20%,"$8,945.00 ","$6,207.00 "
125,U.S. Bancorp,"71,191",131,"$22,744.00 ",5.80%,"$5,888.00 ",0.20%,"$445,964.00 ","$87,201.00 "
126,Aflac,"10,212",135,"$22,559.00 ",8.10%,"$2,659.00 ",5.00%,"$129,819.00 ","$29,053.00 "
127,Sears Holdings,"140,000",111,"$22,138.00 ",-12.00%,"($2,221.00)",-,"$9,362.00 ","$1,231.00 "
128,Dollar General,"121,000",139,"$21,987.00 ",7.90%,"$1,251.10 ",7.40%,"$11,672.00 ","$19,182.00 "
129,AutoNation,"26,000",136,"$21,609.00 ",3.60%,$430.50 ,-2.70%,"$10,060.00 ","$4,268.00 "
130,Community Health Systems,"108,000",125,"$21,374.00 ",-5.80%,"($1,721.00)",-,"$21,944.00 ","$1,010.00 "
131,Starbucks,"254,000",146,"$21,316.00 ",11.20%,"$2,817.70 ",2.20%,"$14,330.00 ","$85,092.00 "
132,Eli Lilly,"41,975",141,"$21,222.00 ",6.30%,"$2,737.60 ",13.70%,"$38,806.00 ","$92,803.00 "
133,International Paper,"55,000",127,"$21,079.00 ",-5.80%,$904.00 ,-3.60%,"$33,345.00 ","$20,884.00 "
134,Tenet Healthcare,"116,475",140,"$21,070.00 ",4.80%,($192.00),-,"$24,701.00 ","$1,777.00 "
135,Abbott Laboratories,"75,000",138,"$20,853.00 ",0.90%,"$1,400.00 ",-68.30%,"$52,666.00 ","$76,740.00 "
136,Dollar Tree,"116,050",180,"$20,719.00 ",33.70%,$896.20 ,217.40%,"$15,702.00 ","$18,540.00 "
137,Whirlpool,"93,000",134,"$20,718.00 ",-0.80%,$888.00 ,13.40%,"$19,153.00 ","$12,762.00 "
138,Southwest Airlines,"53,536",142,"$20,425.00 ",3.10%,"$2,244.00 ",2.90%,"$23,286.00 ","$33,076.00 "
139,Emerson Electric,"103,500",128,"$20,268.00 ",-9.10%,"$1,635.00 ",-39.70%,"$21,743.00 ","$38,614.00 "
140,Staples,"61,503",132,"$20,217.00 ",-4.00%,"($1,497.00)",-494.80%,"$8,271.00 ","$5,723.00 "
141,Plains GP Holdings,"5,100",121,"$20,182.00 ",-12.80%,$94.00 ,-20.30%,"$26,103.00 ","$9,127.00 "
142,Penske Automotive Group,"24,000",143,"$20,143.00 ",4.00%,$342.90 ,5.20%,"$8,861.00 ","$4,001.00 "
143,Union Pacific,"42,919",129,"$19,941.00 ",-8.60%,"$4,233.00 ",-11.30%,"$55,718.00 ","$85,911.00 "
144,Danaher,"62,000",133,"$19,912.00 ",-4.80%,"$2,553.70 ",-23.90%,"$45,295.00 ","$59,359.00 "
145,Southern,"32,015",162,"$19,896.00 ",13.80%,"$2,448.00 ",3.40%,"$109,697.00 ","$49,335.00 "
146,ManpowerGroup,"28,000",144,"$19,654.00 ",1.70%,$443.70 ,5.80%,"$7,574.00 ","$6,938.00 "
147,Bristol-Myers Squibb,"25,000",168,"$19,427.00 ",17.30%,"$4,457.00 ",184.80%,"$33,707.00 ","$89,591.00 "
148,Altria Group,"8,300",149,"$19,337.00 ",2.60%,"$14,239.00 ",171.70%,"$45,932.00 ","$138,513.00 "
149,Fluor,"61,551",155,"$19,037.00 ",5.10%,$281.40 ,-31.80%,"$9,216.00 ","$7,353.00 "
150,Kohl,"85,000",145,"$18,686.00 ",-2.70%,$556.00 ,-17.40%,"$13,574.00 ","$6,862.00 "
151,Lear,"148,400",154,"$18,558.00 ",1.90%,$975.10 ,30.80%,"$9,901.00 ","$9,726.00 "
152,Jabil Circuit,"138,000",158,"$18,353.00 ",2.50%,$254.10 ,-10.50%,"$10,323.00 ","$5,270.00 "
153,Hartford Financial Services Group,"16,900",152,"$18,300.00 ",-0.40%,$896.00 ,-46.70%,"$223,432.00 ","$17,795.00 "
154,Thermo Fisher Scientific,"54,800",164,"$18,274.00 ",7.70%,"$2,021.80 ",2.30%,"$45,908.00 ","$59,964.00 "
155,Kimberly-Clark,"42,000",151,"$18,202.00 ",-2.10%,"$2,166.00 ",113.80%,"$14,602.00 ","$46,828.00 "
156,Molina Healthcare,"21,000",201,"$17,782.00 ",25.40%,$52.00 ,-63.60%,"$7,449.00 ","$2,601.00 "
157,PG&E Corp.,"24,000",166,"$17,666.00 ",4.90%,"$1,393.00 ",59.40%,"$68,598.00 ","$33,696.00 "
158,Supervalu,"38,000",160,"$17,529.00 ",-1.60%,$178.00 ,-7.30%,"$4,370.00 ","$1,033.00 "
159,Cummins,"55,400",148,"$17,509.00 ",-8.40%,"$1,394.00 ",-0.40%,"$15,011.00 ","$25,397.00 "
160,CenturyLink,"40,000",159,"$17,470.00 ",-2.40%,$626.00 ,-28.70%,"$47,017.00 ","$12,883.00 "
161,AECOM,"87,000",156,"$17,411.00 ",-3.20%,$96.10 ,-,"$13,727.00 ","$5,528.00 "
162,Xerox,"133,600",150,"$17,126.00 ",-8.20%,($477.00),-200.60%,"$18,145.00 ","$7,462.00 "
163,Marriott International,"226,500",195,"$17,072.00 ",17.90%,$780.00 ,-9.20%,"$24,140.00 ","$36,124.00 "
164,Paccar,"23,000",147,"$17,033.00 ",-10.90%,$521.70 ,-67.50%,"$20,639.00 ","$23,604.00 "
165,General Mills,"39,000",161,"$16,563.00 ",-6.10%,"$1,697.40 ",39.00%,"$21,712.00 ","$33,998.00 "
166,PNC Financial Services Group,"50,683",171,"$16,423.00 ",0.90%,"$3,903.00 ",-4.90%,"$366,380.00 ","$58,455.00 "
167,American Electric Power,"17,634",165,"$16,380.00 ",-3.10%,$610.90 ,-70.20%,"$63,468.00 ","$33,009.00 "
168,Icahn Enterprises,"90,980",184,"$16,348.00 ",7.00%,"($1,128.00)",-,"$33,335.00 ","$7,989.00 "
169,Nucor,"23,900",170,"$16,208.00 ",-1.40%,$796.30 ,122.60%,"$15,224.00 ","$19,051.00 "
170,NextEra Energy,"14,700",163,"$16,155.00 ",-7.60%,"$2,912.00 ",5.80%,"$89,993.00 ","$60,099.00 "
171,Performance Food Group,"13,000",185,"$16,105.00 ",5.50%,$68.30 ,20.90%,"$3,455.00 ","$2,464.00 "
172,PBF Energy,"3,165",217,"$15,920.00 ",21.30%,$170.80 ,16.70%,"$7,622.00 ","$2,431.00 "
173,Halliburton,"50,000",117,"$15,887.00 ",-32.80%,"($5,763.00)",-,"$27,000.00 ","$42,662.00 "
174,CarMax,"22,429",191,"$15,833.00 ",6.40%,$623.40 ,4.40%,"$14,482.00 ","$11,081.00 "
175,Freeport-McMoRan,"30,000",175,"$15,789.00 ",-0.60%,"($4,154.00)",-,"$37,317.00 ","$19,310.00 "
176,Whole Foods Market,"73,515",181,"$15,724.00 ",2.20%,$507.00 ,-5.40%,"$6,341.00 ","$9,468.00 "
177,Bank of New York Mellon Corp.,"52,000",179,"$15,683.00 ",1.00%,"$3,547.00 ",12.30%,"$333,469.00 ","$48,913.00 "
178,Gap,"135,000",177,"$15,516.00 ",-1.80%,$676.00 ,-26.50%,"$7,610.00 ","$9,712.00 "
179,Omnicom Group,"78,500",186,"$15,417.00 ",1.90%,"$1,148.60 ",5.00%,"$23,165.00 ","$20,219.00 "
180,Genuine Parts,"40,000",183,"$15,340.00 ",0.40%,$687.20 ,-2.60%,"$8,859.00 ","$13,712.00 "
181,DaVita HealthCare Partners,"70,300",200,"$15,197.00 ",6.90%,$879.90 ,226.20%,"$18,741.00 ","$13,227.00 "
182,Colgate-Palmolive,"36,700",174,"$15,195.00 ",-5.20%,"$2,441.00 ",76.40%,"$12,123.00 ","$64,715.00 "
183,PPG Industries,"47,000",182,"$15,178.00 ",-1.00%,$877.00 ,-37.60%,"$15,769.00 ","$26,970.00 "
184,Goodyear Tire & Rubber,"66,000",169,"$15,158.00 ",-7.80%,"$1,264.00 ",311.70%,"$16,511.00 ","$9,070.00 "
185,Synchrony Financial,"15,000",,"$15,122.00 ",11.00%,"$2,251.00 ",1.70%,"$90,207.00 ","$27,810.00 "
186,DISH Network,"16,000",187,"$15,095.00 ",0.20%,"$1,449.90 ",94.10%,"$28,092.00 ","$29,547.00 "
187,Visa,"14,200",204,"$15,082.00 ",8.70%,"$5,991.00 ",-5.30%,"$64,035.00 ","$206,242.00 "
188,Nordstrom,"72,500",197,"$14,757.00 ",2.20%,$354.00 ,-41.00%,"$7,858.00 ","$7,770.00 "
189,INTL FCStone,"1,464",83,"$14,755.00 ",-57.50%,$54.70 ,-1.80%,"$5,951.00 ",$708.00 
190,WestRock,"39,000",251,"$14,706.00 ",29.20%,($396.30),-178.20%,"$23,038.00 ","$13,029.00 "
191,XPO Logistics,"87,000",353,"$14,619.00 ",91.80%,$69.00 ,-,"$11,698.00 ","$5,338.00 "
192,Aramark,"217,250",199,"$14,416.00 ",0.60%,$287.80 ,22.00%,"$10,582.00 ","$9,081.00 "
193,CBS,"18,410",203,"$14,386.00 ",3.60%,"$1,261.00 ",-10.80%,"$24,238.00 ","$28,405.00 "
194,AES,"19,000",190,"$14,287.00 ",-4.50%,"($1,130.00)",-469.30%,"$36,119.00 ","$7,371.00 "
195,WellCare Health Plans,"7,400",202,"$14,237.00 ",2.50%,$242.10 ,104.10%,"$6,153.00 ","$6,212.00 "
196,FirstEnergy,"15,707",188,"$14,156.00 ",-3.10%,"($6,177.00)",-,"$43,148.00 ","$14,118.00 "
197,ConAgra Foods,"20,900",176,"$14,134.00 ",-10.80%,($677.00),-,"$13,391.00 ","$17,557.00 "
198,Synnex,"110,000",212,"$14,062.00 ",5.40%,$234.90 ,12.70%,"$5,223.00 ","$4,469.00 "
199,CDW,"8,516",220,"$13,982.00 ",7.60%,$424.40 ,5.30%,"$6,948.00 ","$9,197.00 "
200,Textron,"36,000",209,"$13,788.00 ",2.70%,$962.00 ,38.00%,"$15,358.00 ","$12,851.00 "
201,Waste Management,"41,200",221,"$13,609.00 ",5.00%,"$1,182.00 ",57.00%,"$20,859.00 ","$32,216.00 "
202,Illinois Tool Works,"50,000",211,"$13,599.00 ",1.40%,"$2,035.00 ",7.20%,"$15,201.00 ","$45,791.00 "
203,Office Depot,"38,000",196,"$13,585.00 ",-6.20%,$529.00 ,-,"$5,540.00 ","$2,402.00 "
204,Monsanto,"22,450",189,"$13,502.00 ",-10.00%,"$1,336.00 ",-42.30%,"$19,736.00 ","$49,644.00 "
205,Cognizant Technology Solutions,"260,200",230,"$13,487.00 ",8.60%,"$1,553.00 ",-4.30%,"$14,262.00 ","$36,226.00 "
206,Texas Instruments,"29,865",219,"$13,370.00 ",2.80%,"$3,595.00 ",20.40%,"$16,431.00 ","$80,531.00 "
207,Lincoln National,"9,057",205,"$13,330.00 ",-1.80%,"$1,192.00 ",3.30%,"$261,627.00 ","$14,760.00 "
208,Newell Brands,"53,400",434,"$13,264.00 ",122.10%,$527.80 ,50.80%,"$33,838.00 ","$22,787.00 "
209,Land O,"10,000",215,"$13,233.00 ",0.60%,$244.90 ,-20.40%,"$8,305.00 ",-
210,Marsh & McLennan,"60,000",222,"$13,211.00 ",2.50%,"$1,768.00 ",10.60%,"$18,190.00 ","$38,078.00 "
211,Ecolab,"47,565",206,"$13,153.00 ",-2.90%,"$1,229.60 ",22.70%,"$18,330.00 ","$36,356.00 "
212,C.H. Robinson Worldwide,"14,125",208,"$13,144.00 ",-2.50%,$513.40 ,0.70%,"$3,688.00 ","$10,958.00 "
213,Loews,"15,800",210,"$13,105.00 ",-2.30%,$654.00 ,151.50%,"$76,594.00 ","$15,747.00 "
214,CBRE Group,"75,000",259,"$13,072.00 ",20.40%,$572.00 ,4.50%,"$10,780.00 ","$11,753.00 "
215,Kinder Morgan,"11,121",198,"$13,058.00 ",-9.30%,$708.00 ,179.80%,"$80,305.00 ","$48,533.00 "
216,Kellogg,"37,369",207,"$13,014.00 ",-3.80%,$694.00 ,13.00%,"$15,111.00 ","$25,417.00 "
